MEP id,Name,Member State,National Party,EP Group,NOM-D1,NOM-D2,
2,ABENS Victor,L,1804,S,-0.021,0.245,
5,ADAM Gordon J.,U,2404,S,-0.029,0.832,
6,ADAMOU Dimitrios,G,1504,M,-0.815,-0.098,
7,ADONNINO Pietro,I,1606,E,0.537,-0.244,
9,AERSSEN Jochen van,D,1201,E,0.535,-0.240,
12,AGNELLI Susanna,I,1618,L,0.364,-0.474,
15,AIGNER Heinrich,D,1202,E,0.568,-0.336,
17,ALAVANOS Alexandros,G,1504,M,-0.879,-0.169,
18,ALBER Siegbert,D,1201,E,0.520,-0.268,
19,ALBERS Willem,N,1906,S,-0.098,0.644,
21,ALEMANN Mechthild von,D,1203,L,0.362,-0.195,
23,ALEXIADIS Georgios,G,1503,N,0.369,-0.105,
24,ALFONSI Nicolas,F,1405,S,0.085,-0.221,
29,ALMIRANTE Giorgio,I,1601,N,0.440,-0.145,
38,AMENDOLA Giorgio,I,1613,M,.,.,
50,ANGLADE Magdeleine,F,1402,G,0.363,-0.848,
52,ANSART Gustave,F,1409,M,.,.,
53,ANSQUER Vincent F.M.,F,1404,G,0.204,-0.919,
54,ANTONIOZZI Dario,I,1606,E,0.514,-0.266,
63,ARFE' Gaetano,I,1621,S,-0.033,0.247,
67,ARNDT Rudi,D,1207,S,-0.010,0.561,
84,BADUEL GLORIOSO Maria Fabrizia,I,1610,M,-0.247,-0.011,
87,BAILLOT Louis,F,1409,M,-0.488,-0.624,
92,BALFE Richard A.,U,2404,S,-0.324,0.855,
93,BALFOUR Neil R.,U,2401,C,0.792,0.604,
97,BANGEMANN Martin,D,1203,L,0.405,-0.215,
100,BARBAGLI Giovanni,I,1606,E,0.464,-0.294,
101,BARBARELLA Carla,I,1613,M,-0.115,0.050,
102,BARBI Paolo,I,1606,E,0.525,-0.221,
116,BATTERSBY Robert C.,U,2401,C,0.832,0.524,
118,BAUDIS Pierre,F,1414,E,0.456,-0.429,
127,BEAZLEY Peter,U,2401,C,0.819,0.568,
143,BERKHOUWER Cornelis,N,1909,L,0.419,-0.287,
145,BERLINGUER Enrico,I,1613,M,.,.,
147,BERNARD Pierre,F,1412,S,-0.195,-0.241,
151,BERSANI Giovanni,I,1606,E,0.432,-0.265,
156,BETHELL The Lord,U,2401,C,0.862,0.485,
158,BETTIZA Vincenzo,I,1616,L,0.426,-0.304,
159,BEUMER Bouke,N,1901,E,0.400,0.013,
160,BEYER DE RYKE Luc Ch.H.,B,1107,L,0.420,0.011,
167,BISMARCK Philipp von,D,1201,E,0.512,-0.224,
171,BLANEY Neil,R,2208,R,-0.546,-0.379,
176,BLUMENFELD Erik Bernhard,D,1201,E,0.570,-0.053,
